"name","model","mean","lower","upper"
"Butyrate","enet",0.407,0.386,0.428
"Butyrate","rf",0.388,0.367,0.411
"Butyrate","spls",0.414,0.393,0.436
"Butyrate","svm",0.364,0.343,0.386
"Glycine","enet",0.323,0.301,0.344
"Inosine","enet",0.358,0.341,0.376
"Inosine","rf",0.368,0.351,0.386
"Isobutyrate","rf",0.367,0.351,0.383
"Isobutyrate","svm",0.369,0.352,0.385
"Isoleucine","enet",0.397,0.375,0.419
"Isoleucine","rf",0.399,0.376,0.421
"Isoleucine","spls",0.379,0.357,0.402
"Isoleucine","svm",0.424,0.401,0.447
"Lactate","enet",0.434,0.412,0.454
"Lactate","rf",0.34,0.319,0.361
"Lactate","spls",0.41,0.389,0.43
"Lactate","svm",0.403,0.382,0.424
"Leucine","enet",0.332,0.304,0.362
"Leucine","rf",0.372,0.342,0.401
"Leucine","svm",0.392,0.363,0.421
"Methionine","enet",0.383,0.363,0.404
"Methionine","rf",0.387,0.365,0.407
"Methionine","spls",0.388,0.367,0.408
"Methionine","svm",0.417,0.396,0.438
"Phenylalanine","enet",0.35,0.339,0.361
"Phenylalanine","rf",0.346,0.334,0.357
"Phenylalanine","spls",0.318,0.307,0.329
"Phenylalanine","svm",0.368,0.356,0.379
"Propionate","enet",0.416,0.395,0.435
"Propionate","rf",0.414,0.393,0.434
"Propionate","spls",0.376,0.356,0.397
"Propionate","svm",0.435,0.415,0.456
"Succinate","enet",0.549,0.53,0.567
"Succinate","rf",0.474,0.455,0.492
"Succinate","spls",0.508,0.49,0.526
"Succinate","svm",0.478,0.459,0.496
"Tyrosine","enet",0.344,0.335,0.353
"Tyrosine","rf",0.369,0.36,0.378
"Tyrosine","spls",0.37,0.361,0.379
"Tyrosine","svm",0.385,0.376,0.393
"Uracil","enet",0.42,0.411,0.429
"Uracil","rf",0.46,0.45,0.469
"Uracil","spls",0.409,0.399,0.418
"Uracil","svm",0.407,0.398,0.416
"Valine","enet",0.342,0.327,0.357
"Valine","rf",0.353,0.338,0.368
"Valine","spls",0.351,0.336,0.366
"Valine","svm",0.379,0.364,0.394
