"name","model","mean","lower","upper"
"Butyrate","spls",0.028,0.004,0.054
"Formate","rf",0.027,0.015,0.039
"Inosine","rf",0.018,0.001,0.036
"Isobutyrate","rf",0.021,0.007,0.036
"Isoleucine","enet",0.051,0.025,0.077
"Isoleucine","rf",0.037,0.011,0.063
"Isoleucine","svm",0.076,0.05,0.102
"Lactate","enet",0.081,0.043,0.12
"Lactate","spls",0.066,0.027,0.107
"Leucine","enet",0.031,0.012,0.05
"Leucine","rf",0.034,0.014,0.052
"Leucine","svm",0.063,0.043,0.081
"Methionine","enet",0.049,0.019,0.077
"Methionine","rf",0.042,0.012,0.071
"Methionine","spls",0.062,0.033,0.091
"Methionine","svm",0.077,0.048,0.106
"Phenylalanine","enet",0.028,0.01,0.045
"Phenylalanine","svm",0.032,0.014,0.049
"Propionate","svm",0.048,0.017,0.079
"Propylene glycol","rf",0.087,0.071,0.103
"Propylene glycol","spls",0.046,0.03,0.061
"Tyrosine","enet",0.023,0.015,0.031
"Tyrosine","rf",0.034,0.026,0.042
"Tyrosine","spls",0.039,0.03,0.047
"Tyrosine","svm",0.051,0.043,0.059
"Uracil","enet",0.075,0.065,0.086
"Uracil","rf",0.076,0.065,0.087
"Uracil","spls",0.075,0.064,0.086
"Uracil","svm",0.074,0.064,0.085
"Valine","enet",0.024,0.01,0.038
"Valine","rf",0.019,0.004,0.033
"Valine","svm",0.043,0.028,0.057
