"name","model","mean","lower","upper"
"Acetate","enet",0.355,0.343,0.368
"Acetate","spls",0.408,0.395,0.42
"Asparagine","enet",0.51,0.499,0.521
"Asparagine","rf",0.459,0.448,0.47
"Asparagine","spls",0.473,0.462,0.484
"Asparagine","svm",0.452,0.441,0.463
"Aspartate","enet",0.335,0.319,0.351
"Aspartate","rf",0.428,0.412,0.445
"Aspartate","spls",0.324,0.307,0.34
"Butyrate","enet",0.669,0.656,0.682
"Butyrate","rf",0.581,0.568,0.593
"Butyrate","spls",0.657,0.644,0.67
"Butyrate","svm",0.576,0.563,0.589
"Cholate","enet",0.363,0.35,0.376
"Cholate","rf",0.394,0.381,0.407
"Cholate","spls",0.378,0.365,0.391
"Cholate","svm",0.404,0.39,0.417
"Fumarate","svm",0.32,0.307,0.332
"Glucose","enet",0.394,0.381,0.407
"Glucose","spls",0.369,0.356,0.382
"Glucose","svm",0.336,0.323,0.349
"Glutamate","enet",0.449,0.421,0.477
"Glutamate","rf",0.437,0.408,0.464
"Glutamate","spls",0.467,0.439,0.495
"Glutamate","svm",0.462,0.433,0.49
"Glycerol","enet",0.405,0.382,0.428
"Glycerol","rf",0.438,0.415,0.46
"Glycerol","spls",0.364,0.341,0.387
"Glycerol","svm",0.387,0.365,0.41
"Inosine","enet",0.347,0.319,0.376
"Isobutyrate","enet",0.361,0.343,0.38
"Isobutyrate","spls",0.354,0.336,0.373
"Isoleucine","enet",0.398,0.387,0.41
"Isoleucine","rf",0.387,0.376,0.398
"Isoleucine","spls",0.454,0.443,0.465
"Isoleucine","svm",0.376,0.365,0.388
"Leucine","enet",0.497,0.485,0.508
"Leucine","rf",0.399,0.387,0.41
"Leucine","spls",0.521,0.509,0.532
"Leucine","svm",0.425,0.414,0.437
"Lysine","enet",0.501,0.488,0.515
"Lysine","rf",0.454,0.441,0.468
"Lysine","spls",0.49,0.476,0.504
"Lysine","svm",0.411,0.397,0.425
"Malonate","enet",0.443,0.433,0.453
"Malonate","rf",0.411,0.401,0.421
"Malonate","spls",0.467,0.457,0.477
"Malonate","svm",0.449,0.438,0.459
"Maltose","enet",0.347,0.336,0.359
"Maltose","rf",0.354,0.343,0.366
"Maltose","spls",0.318,0.306,0.329
"Maltose","svm",0.364,0.353,0.375
"Methionine","enet",0.482,0.469,0.494
"Methionine","rf",0.396,0.384,0.408
"Methionine","spls",0.494,0.482,0.507
"Methionine","svm",0.442,0.429,0.454
"Nicotinate","enet",0.376,0.364,0.389
"Nicotinate","rf",0.337,0.324,0.35
"Nicotinate","spls",0.396,0.384,0.409
"Phenylalanine","enet",0.464,0.452,0.477
"Phenylalanine","rf",0.397,0.385,0.409
"Phenylalanine","spls",0.484,0.473,0.496
"Phenylalanine","svm",0.395,0.383,0.407
"Proline","enet",0.35,0.337,0.364
"Proline","spls",0.357,0.343,0.37
"Propionate","enet",0.615,0.603,0.626
"Propionate","rf",0.55,0.538,0.561
"Propionate","spls",0.614,0.603,0.626
"Propionate","svm",0.556,0.545,0.567
"Propylene glycol","enet",0.381,0.369,0.393
"Propylene glycol","rf",0.368,0.356,0.379
"Propylene glycol","spls",0.387,0.375,0.399
"Propylene glycol","svm",0.343,0.331,0.355
"Tyrosine","enet",0.352,0.341,0.363
"Tyrosine","rf",0.334,0.322,0.345
"Tyrosine","spls",0.397,0.385,0.409
"Tyrosine","svm",0.355,0.343,0.366
"Uracil","enet",0.515,0.492,0.539
"Uracil","rf",0.481,0.457,0.505
"Uracil","spls",0.482,0.458,0.506
"Uracil","svm",0.451,0.428,0.476
"Valine","enet",0.399,0.386,0.412
"Valine","rf",0.329,0.316,0.342
"Valine","spls",0.417,0.404,0.43
"Valine","svm",0.323,0.31,0.337
