"name","model","mean","lower","upper"
"Butyrate","enet",0.118,0.05,0.184
"Butyrate","rf",0.085,0.018,0.151
"Glycerol","rf",0.041,0.012,0.068
"Isobutyrate","enet",0.037,0.012,0.062
"Isoleucine","rf",0.02,0.008,0.032
"Isoleucine","spls",0.047,0.034,0.059
"Isoleucine","svm",0.018,0.006,0.03
"Leucine","enet",0.05,0.032,0.068
"Leucine","rf",0.024,0.006,0.041
"Leucine","spls",0.072,0.055,0.089
"Leucine","svm",0.032,0.015,0.049
"Methionine","enet",0.04,0.026,0.055
"Methionine","spls",0.03,0.016,0.045
"Methionine","svm",0.042,0.027,0.056
"Phenylalanine","enet",0.037,0.02,0.053
"Phenylalanine","rf",0.025,0.009,0.042
"Phenylalanine","spls",0.055,0.039,0.072
"Tyrosine","spls",0.019,0.006,0.033
