"Genus","met","corr","p_val"
"Roseburia","Butyrate",0.366,"< 0.001"
"Enterococcus","Lactate",0.325,"< 0.001"
"Bifidobacterium","Lactate",0.322,"< 0.001"
"Blautia","Succinate",0.321,"< 0.001"
"Faecalibacterium","Butyrate",0.288,"< 0.001"
"Bifidobacterium","Propylene glycol",0.261,"0.001"
"Enterococcus","Propylene glycol",0.259,"0.001"
"Haemophilus","Fucose",0.258,"0.001"
"Ruminiclostridium_5","Tyrosine",0.248,"0.003"
"Clostridium_sensu_stricto_1","Succinate",0.242,"0.004"
"Ruminiclostridium_5","Phenylalanine",0.239,"0.004"
"Actinomyces","Lactate",0.236,"0.005"
"Anaerostipes","Butyrate",0.233,"0.005"
"Bilophila","Formate",0.232,"0.005"
"Terrisporobacter","Succinate",0.228,"0.006"
"Ruminiclostridium_5","Isoleucine",0.227,"0.006"
"Ruminiclostridium_5","Methionine",0.226,"0.007"
"Bilophila","Propylene glycol",0.223,"0.009"
"Ruminiclostridium_5","Inosine",0.221,"0.009"
"Escherichia/Shigella","Lactate",0.219,"0.01"
"Eisenbergiella","Proline",0.218,"0.01"
"Eisenbergiella","Glycine",0.212,"0.012"
"Actinomyces","Formate",0.211,"0.013"
"Anaerotruncus","Propionate",0.211,"0.013"
"Erysipelatoclostridium","Cholate",0.209,"0.014"
"Ruminococcaceae_UCG-014","Formate",0.207,"0.015"
"Gemella","Lactate",0.207,"0.015"
"Finegoldia","Lactate",0.207,"0.015"
"Subdoligranulum","Lactate",0.206,"0.015"
"Ruminiclostridium_5","Tryptophan",0.206,"0.015"
"Veillonella","Fucose",0.204,"0.016"
"Flavonifractor","Propionate",0.204,"0.016"
"Enterococcus","Alanine",0.203,"0.016"
"Dialister","Lactate",0.202,"0.016"
"Ruminiclostridium_5","Leucine",0.202,"0.016"
"Anaerostipes","Propionate",0.202,"0.017"
"Ruminiclostridium_9","Formate",0.198,"0.02"
"Romboutsia","Cholate",0.197,"0.02"
"Ruminiclostridium_5","Valine",0.197,"0.02"
"Phascolarctobacterium","Formate",0.196,"0.021"
"Peptoclostridium","Lactate",0.196,"0.021"
"Phascolarctobacterium","Propylene glycol",0.195,"0.021"
"Ruminiclostridium_6","Formate",0.194,"0.023"
"Peptoclostridium","Fucose",0.193,"0.023"
"Ruminococcaceae_UCG-004","Lactate",0.193,"0.023"
"Terrisporobacter","Cholate",0.192,"0.024"
"Ruminiclostridium_5","Glutamate",0.192,"0.024"
"Parabacteroides","Fumarate",0.191,"0.025"
"Eisenbergiella","Threonine",0.191,"0.025"
"Bilophila","Threonine",0.19,"0.026"
"Granulicatella","Cholate",0.187,"0.03"
"Bacteroides","Propionate",0.187,"0.03"
"Phascolarctobacterium","Fucose",0.186,"0.03"
"Intestinimonas","Propylene glycol",0.186,"0.03"
"Actinomyces","Alanine",0.184,"0.034"
"Bifidobacterium","Alanine",0.183,"0.034"
"Blautia","Glucose",0.182,"0.036"
"Erysipelatoclostridium","Malonate",0.182,"0.036"
"Granulicatella","Lactate",0.181,"0.037"
"Actinomyces","Fucose",0.18,"0.038"
"Actinomyces","Glycine",0.18,"0.038"
"Tyzzerella_4","Tryptophan",0.18,"0.038"
"Ruminococcaceae_UCG-013","Butyrate",0.178,"0.04"
"Collinsella","Isobutyrate",0.178,"0.041"
"Lactobacillus","Lactate",0.178,"0.04"
"Ruminiclostridium_5","Uracil",0.178,"0.04"
"Ruminiclostridium_6","Fucose",0.177,"0.041"
"Actinomyces","Propylene glycol",0.177,"0.041"
"Lactobacillus","Propylene glycol",0.177,"0.041"
"Ruminiclostridium_9","Threonine",0.177,"0.041"
"Ruminiclostridium_5","Uridine",0.177,"0.041"
"Turicibacter","Glucose",0.176,"0.042"
"Coprococcus_3","Lactate",0.176,"0.043"
"Sellimonas","Propionate",0.175,"0.044"
"Acinetobacter","Cholate",0.174,"0.045"
"Coprococcus_3","Fucose",0.174,"0.045"
"Enterobacter","Fucose",0.174,"0.045"
"Ruminiclostridium_6","Lactate",0.174,"0.045"
"Eggerthella","Malonate",0.174,"0.045"
"Erysipelatoclostridium","Methionine",0.173,"0.047"
"Eggerthella","Propylene glycol",0.173,"0.046"
"Roseburia","Succinate",0.173,"0.047"
