"Genus","met","corr","p_val"
"Enterococcus","Phenylalanine",0.411,"< 0.001"
"Enterococcus","Leucine",0.403,"< 0.001"
"Propionibacterium","Propylene glycol",0.398,"< 0.001"
"Enterococcus","Asparagine",0.392,"< 0.001"
"Staphylococcus","Glycerol",0.377,"< 0.001"
"Enterococcus","Methionine",0.376,"< 0.001"
"Enterococcus","Lysine",0.371,"< 0.001"
"Enterococcus","Cholate",0.365,"< 0.001"
"Enterococcus","Propionate",0.361,"< 0.001"
"Enterococcus","Valine",0.361,"< 0.001"
"Enterococcus","Glycine",0.358,"< 0.001"
"Enterococcus","Tryptophan",0.358,"< 0.001"
"Bacteroides","Succinate",0.355,"< 0.001"
"Enterococcus","Butyrate",0.353,"< 0.001"
"Enterococcus","Uracil",0.353,"< 0.001"
"Bacteroides","Glucose",0.345,"< 0.001"
"Enterococcus","Glutamate",0.337,"< 0.001"
"Gemella","Glycerol",0.337,"< 0.001"
"Clostridium_sensu_stricto_1","Butyrate",0.333,"0.001"
"Enterococcus","Isoleucine",0.326,"0.001"
"Corynebacterium_1","Glycerol",0.324,"0.001"
"Haemophilus","Propylene glycol",0.322,"0.001"
"Pseudomonas","Propylene glycol",0.308,"0.002"
"Acinetobacter","Propylene glycol",0.308,"0.002"
"Enterococcus","Malonate",0.302,"0.002"
"Gemella","Fucose",0.297,"0.003"
"Enterococcus","Inosine",0.297,"0.003"
"Escherichia/Shigella","Fumarate",0.288,"0.004"
"Pseudomonas","Glycerol",0.286,"0.004"
"Prevotella_9","Glycerol",0.286,"0.004"
"Haemophilus","Glycerol",0.285,"0.004"
"Enterococcus","Acetate",0.282,"0.005"
"Bacteroides","Fumarate",0.281,"0.005"
"Staphylococcus","Fucose",0.279,"0.005"
"Propionibacterium","Glycerol",0.279,"0.005"
"Clostridium_sensu_stricto_1","Maltose",0.278,"0.005"
"Enterococcus","Histidine",0.272,"0.006"
"Prevotella_9","Propylene glycol",0.269,"0.007"
"Enterococcus","Threonine",0.267,"0.007"
"Staphylococcus","Glucose",0.265,"0.008"
"Gemella","Glucose",0.26,"0.01"
"Flavonifractor","Butyrate",0.259,"0.01"
"Pseudomonas","Glucose",0.258,"0.01"
"Enterococcus","Lactate",0.253,"0.013"
"Enterococcus","Proline",0.253,"0.013"
"Flavonifractor","Methionine",0.252,"0.013"
"Dolosigranulum","Glycerol",0.251,"0.014"
"Acinetobacter","Glycerol",0.25,"0.014"
"Flavonifractor","Isoleucine",0.245,"0.017"
"Propionibacterium","Glucose",0.243,"0.018"
"Corynebacterium_1","Propylene glycol",0.24,"0.02"
"Veillonella","Glycerol",0.235,"0.023"
"Flavonifractor","Valine",0.235,"0.023"
"Flavonifractor","Tyrosine",0.234,"0.024"
"Enterococcus","Tyrosine",0.234,"0.023"
"Pseudomonas","Fucose",0.233,"0.024"
"Gemella","Propylene glycol",0.23,"0.027"
"Clostridium_sensu_stricto_1","Asparagine",0.227,"0.03"
"Alistipes","Glucose",0.224,"0.032"
"Propionibacterium","Fucose",0.223,"0.034"
"Bifidobacterium","Propylene glycol",0.221,"0.036"
"Corynebacterium_1","Fucose",0.219,"0.037"
"Streptococcus","Maltose",0.219,"0.038"
"Haemophilus","Fucose",0.217,"0.04"
"Parabacteroides","Propylene glycol",0.216,"0.042"
"Flavonifractor","Phenylalanine",0.214,"0.044"
"Alistipes","Propylene glycol",0.214,"0.044"
"Haemophilus","Glucose",0.212,"0.046"
"Alistipes","Glycerol",0.212,"0.046"
"Flavonifractor","Leucine",0.21,"0.049"
"Haemophilus","Valine",-0.209,"0.05"
"Parabacteroides","Leucine",-0.21,"0.049"
"Rothia","Phenylalanine",-0.21,"0.049"
"Atopobium","Propionate",-0.211,"0.047"
"Bifidobacterium","Propionate",-0.212,"0.046"
"Bacteroides","Asparagine",-0.213,"0.045"
"Alistipes","Valine",-0.213,"0.044"
"Streptococcus","Alanine",-0.215,"0.042"
"Varibaculum","Asparagine",-0.215,"0.043"
"Pseudomonas","Uracil",-0.215,"0.042"
"Prevotella_9","Propionate",-0.216,"0.041"
"Anaerostipes","Uracil",-0.216,"0.041"
"Bifidobacterium","Isoleucine",-0.217,"0.04"
"Collinsella","Tryptophan",-0.217,"0.041"
"Bifidobacterium","Asparagine",-0.218,"0.039"
"Dolosigranulum","Nicotinate",-0.218,"0.039"
"Parabacteroides","Tryptophan",-0.218,"0.039"
"Dolosigranulum","Tryptophan",-0.218,"0.039"
"Dolosigranulum","Acetate",-0.22,"0.037"
"Atopobium","p-Methylhistidine",-0.22,"0.037"
"Escherichia/Shigella","Formate",-0.221,"0.036"
